,country,continent,population,iso_code,new_tests_smoothed,new_tests_smoothed_per_thousand,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_100k
0,Afghanistan,Asia,38928341,AFG,,,,54.422,18.6,2.5810000000000004,1.337,1803.987,9.59,,,0.5
1,Afghanistan,Asia,38928341,AFG,,,0.0,54.422,18.6,2.5810000000000004,1.337,1803.987,9.59,,,0.5
2,Afghanistan,Asia,38928341,AFG,,,19.05,54.422,18.6,2.5810000000000004,1.337,1803.987,9.59,,,0.5
3,Afghanistan,Asia,38928341,AFG,,,21.83,54.422,18.6,2.5810000000000004,1.337,1803.987,9.59,,,0.5
4,Afghanistan,Asia,38928341,AFG,,,32.94,54.422,18.6,2.5810000000000004,1.337,1803.987,9.59,,,0.5
5,Afghanistan,Asia,38928341,AFG,,,36.11,54.422,18.6,2.5810000000000004,1.337,1803.987,9.59,,,0.5
6,Afghanistan,Asia,38928341,AFG,,,44.05,54.422,18.6,2.5810000000000004,1.337,1803.987,9.59,,,0.5
7,Afghanistan,Asia,38928341,AFG,,,53.31,54.422,18.6,2.5810000000000004,1.337,1803.987,9.59,,,0.5
8,Afghanistan,Asia,38928341,AFG,,,61.25,54.422,18.6,2.5810000000000004,1.337,1803.987,9.59,,,0.5
9,Afghanistan,Asia,38928341,AFG,,,72.36,54.422,18.6,2.5810000000000004,1.337,1803.987,9.59,,,0.5
10,Afghanistan,Asia,38928341,AFG,,,76.33,54.422,18.6,2.5810000000000004,1.337,1803.987,9.59,,,0.5
11,Albania,Europe,2877800,ALB,,,39.42,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,10.08,7.1,51.2,2.89
12,Albania,Europe,2877800,ALB,,,50.53,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,10.08,7.1,51.2,2.89
13,Albania,Europe,2877800,ALB,,,53.31,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,10.08,7.1,51.2,2.89
14,Albania,Europe,2877800,ALB,,,80.82,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,10.08,7.1,51.2,2.89
15,Albania,Europe,2877800,ALB,,,84.39,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,10.08,7.1,51.2,2.89
16,Albania,Europe,2877800,ALB,,,88.36,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,10.08,7.1,51.2,2.89
17,Albania,Europe,2877800,ALB,,,,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,10.08,7.1,51.2,2.89
18,Algeria,Africa,43851043,DZA,,,,17.348,29.1,6.211,3.8569999999999998,13913.839,6.73,0.7,30.4,1.9
19,Algeria,Africa,43851043,DZA,,,0.0,17.348,29.1,6.211,3.8569999999999998,13913.839,6.73,0.7,30.4,1.9
20,Algeria,Africa,43851043,DZA,,,7.14,17.348,29.1,6.211,3.8569999999999998,13913.839,6.73,0.7,30.4,1.9
21,Algeria,Africa,43851043,DZA,,,32.14,17.348,29.1,6.211,3.8569999999999998,13913.839,6.73,0.7,30.4,1.9
22,Algeria,Africa,43851043,DZA,,,37.7,17.348,29.1,6.211,3.8569999999999998,13913.839,6.73,0.7,30.4,1.9
23,Algeria,Africa,43851043,DZA,,,73.15,17.348,29.1,6.211,3.8569999999999998,13913.839,6.73,0.7,30.4,1.9
24,Algeria,Africa,43851043,DZA,,,80.57,17.348,29.1,6.211,3.8569999999999998,13913.839,6.73,0.7,30.4,1.9
25,Algeria,Africa,43851043,DZA,,,84.54,17.348,29.1,6.211,3.8569999999999998,13913.839,6.73,0.7,30.4,1.9
26,Algeria,Africa,43851043,DZA,,,82.42,17.348,29.1,6.211,3.8569999999999998,13913.839,6.73,0.7,30.4,1.9
27,Andorra,Europe,77265,AND,,,0.0,163.755,,,,,7.97,29.0,37.8,
28,Andorra,Europe,77265,AND,,,24.07,163.755,,,,,7.97,29.0,37.8,
29,Andorra,Europe,77265,AND,,,35.18,163.755,,,,,7.97,29.0,37.8,
30,Andorra,Europe,77265,AND,,,53.43,163.755,,,,,7.97,29.0,37.8,
31,Andorra,Europe,77265,AND,,,61.77,163.755,,,,,7.97,29.0,37.8,
32,Andorra,Europe,77265,AND,,,59.12,163.755,,,,,7.97,29.0,37.8,
33,Andorra,Europe,77265,AND,,,56.34,163.755,,,,,7.97,29.0,37.8,
34,Andorra,Europe,77265,AND,,,,163.755,,,,,7.97,29.0,37.8,
35,Angola,Africa,32866268,AGO,,,11.11,23.89,16.8,2.405,1.3619999999999999,5819.495,3.94,,,
36,Angola,Africa,32866268,AGO,,,36.5,23.89,16.8,2.405,1.3619999999999999,5819.495,3.94,,,
37,Angola,Africa,32866268,AGO,,,93.38,23.89,16.8,2.405,1.3619999999999999,5819.495,3.94,,,
38,Angola,Africa,32866268,AGO,,,83.6,23.89,16.8,2.405,1.3619999999999999,5819.495,3.94,,,
39,Angola,Africa,32866268,AGO,,,81.61,23.89,16.8,2.405,1.3619999999999999,5819.495,3.94,,,
40,Angola,Africa,32866268,AGO,,,,23.89,16.8,2.405,1.3619999999999999,5819.495,3.94,,,
41,Anguilla,North America,15002,AIA,,,,,,,,,,,,
42,Antigua and Barbuda,North America,97928,ATG,,,,231.845,32.1,6.933,4.631,21490.943,13.17,,,3.8
43,Argentina,South America,45195777,ARG,,,11.11,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
44,Argentina,South America,45195777,ARG,,,24.61,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
45,Argentina,South America,45195777,ARG,,,41.27,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
46,Argentina,South America,45195777,ARG,,,77.78,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
47,Argentina,South America,45195777,ARG,,,88.89,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
48,Argentina,South America,45195777,ARG,,,100.0,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
49,Argentina,South America,45195777,ARG,0.295,,100.0,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
50,Argentina,South America,45195777,ARG,0.329,,100.0,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
51,Argentina,South America,45195777,ARG,0.362,,100.0,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
52,Argentina,South America,45195777,ARG,0.399,,100.0,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
53,Argentina,South America,45195777,ARG,0.4370000000000001,,100.0,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
54,Argentina,South America,45195777,ARG,0.505,,100.0,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
55,Argentina,South America,45195777,ARG,0.539,0.035,100.0,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
56,Argentina,South America,45195777,ARG,0.585,0.037000000000000005,100.0,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
57,Argentina,South America,45195777,ARG,0.634,0.039,100.0,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
58,Argentina,South America,45195777,ARG,0.685,0.041,100.0,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
59,Argentina,South America,45195777,ARG,0.7240000000000001,0.044,100.0,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
60,Argentina,South America,45195777,ARG,0.765,0.047,100.0,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
61,Argentina,South America,45195777,ARG,0.81,0.044,100.0,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
62,Argentina,South America,45195777,ARG,0.868,0.047,100.0,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
63,Argentina,South America,45195777,ARG,0.925,0.048,100.0,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
64,Argentina,South America,45195777,ARG,0.988,0.051,100.0,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
65,Argentina,South America,45195777,ARG,1.0490000000000002,0.052000000000000005,100.0,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
66,Argentina,South America,45195777,ARG,1.104,0.054000000000000006,100.0,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
67,Argentina,South America,45195777,ARG,1.148,0.055,87.57,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
68,Argentina,South America,45195777,ARG,1.186,0.054000000000000006,87.57,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
69,Argentina,South America,45195777,ARG,1.24,0.053,87.57,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
70,Argentina,South America,45195777,ARG,1.298,0.053,87.57,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
71,Argentina,South America,45195777,ARG,1.361,0.053,87.57,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
72,Argentina,South America,45195777,ARG,1.413,0.052000000000000005,87.57,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
73,Argentina,South America,45195777,ARG,1.456,0.05,87.57,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
74,Argentina,South America,45195777,ARG,1.503,0.051,87.57,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
75,Argentina,South America,45195777,ARG,1.543,0.051,87.57,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
76,Argentina,South America,45195777,ARG,1.6,0.051,87.57,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
77,Argentina,South America,45195777,ARG,1.664,0.052000000000000005,87.57,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
78,Argentina,South America,45195777,ARG,1.724,0.052000000000000005,87.57,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
79,Argentina,South America,45195777,ARG,1.786,0.053,87.57,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
80,Argentina,South America,45195777,ARG,1.837,0.054000000000000006,87.57,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
81,Argentina,South America,45195777,ARG,1.884,0.054000000000000006,91.54,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
82,Argentina,South America,45195777,ARG,1.937,0.056,91.54,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
83,Argentina,South America,45195777,ARG,2.002,0.057,91.54,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
84,Argentina,South America,45195777,ARG,2.073,0.058,,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
85,Argentina,South America,45195777,ARG,2.144,0.06,,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
86,Argentina,South America,45195777,ARG,2.221,0.062,,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
87,Argentina,South America,45195777,ARG,2.2840000000000003,0.064,,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
88,Argentina,South America,45195777,ARG,2.342,0.065,,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
89,Argentina,South America,45195777,ARG,,0.068,,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
90,Argentina,South America,45195777,ARG,2.486,0.069,,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
91,Argentina,South America,45195777,ARG,,,,16.177,31.9,11.198,7.441,18933.907,5.5,16.2,27.7,5.0
92,Armenia,Asia,2963234,ARM,,,,102.931,35.7,11.232000000000001,7.571000000000001,8787.58,7.11,1.5,52.1,4.2
93,Aruba,North America,106766,ABW,,,0.0,584.8,41.2,13.085,7.452000000000001,35973.781,11.62,,,
94,Aruba,North America,106766,ABW,,,30.56,584.8,41.2,13.085,7.452000000000001,35973.781,11.62,,,
95,Aruba,North America,106766,ABW,,,44.84,584.8,41.2,13.085,7.452000000000001,35973.781,11.62,,,
96,Aruba,North America,106766,ABW,,,83.46,584.8,41.2,13.085,7.452000000000001,35973.781,11.62,,,
97,Aruba,North America,106766,ABW,,,86.11,584.8,41.2,13.085,7.452000000000001,35973.781,11.62,,,
98,Aruba,North America,106766,ABW,,,86.24,584.8,41.2,13.085,7.452000000000001,35973.781,11.62,,,
99,Aruba,North America,106766,ABW,,,80.82,584.8,41.2,13.085,7.452000000000001,35973.781,11.62,,,
100,Aruba,North America,106766,ABW,,,,584.8,41.2,13.085,7.452000000000001,35973.781,11.62,,,
101,Australia,Oceania,25499881,AUS,,,,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
102,Australia,Oceania,25499881,AUS,,,0.0,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
103,Australia,Oceania,25499881,AUS,,,7.94,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
104,Australia,Oceania,25499881,AUS,,,16.27,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
105,Australia,Oceania,25499881,AUS,,,19.44,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
106,Australia,Oceania,25499881,AUS,,,30.56,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
107,Australia,Oceania,25499881,AUS,,,34.53,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
108,Australia,Oceania,25499881,AUS,,,42.47,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
109,Australia,Oceania,25499881,AUS,,,45.24,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
110,Australia,Oceania,25499881,AUS,5.61,,45.24,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
111,Australia,Oceania,25499881,AUS,,,50.54,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
112,Australia,Oceania,25499881,AUS,,,63.11,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
113,Australia,Oceania,25499881,AUS,8.285,0.382,71.44,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
114,Australia,Oceania,25499881,AUS,,0.396,71.44,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
115,Australia,Oceania,25499881,AUS,,0.41,71.44,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
116,Australia,Oceania,25499881,AUS,,0.425,71.44,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
117,Australia,Oceania,25499881,AUS,,0.439,70.91,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
118,Australia,Oceania,25499881,AUS,,0.453,70.91,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
119,Australia,Oceania,25499881,AUS,,0.467,70.91,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
120,Australia,Oceania,25499881,AUS,11.653,0.481,70.91,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
121,Australia,Oceania,25499881,AUS,11.869000000000002,0.443,70.91,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
122,Australia,Oceania,25499881,AUS,12.184,0.42,70.91,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
123,Australia,Oceania,25499881,AUS,12.524,0.399,70.91,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
124,Australia,Oceania,25499881,AUS,12.946,0.391,70.91,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
125,Australia,Oceania,25499881,AUS,13.269,0.368,70.91,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
126,Australia,Oceania,25499881,AUS,13.640999999999998,0.353,70.91,3.202,37.9,15.504000000000001,10.129,44648.71,5.07,13.0,16.5,3.84
